State_Code,District,Type,Status,Count
AN,Nicobars,delta7,vaccinated1,62
AN,Nicobars,delta7,vaccinated2,811
AN,Nicobars,meta,population,36842
AN,Nicobars,total,vaccinated1,25394
AN,Nicobars,total,vaccinated2,20313
AN,North and Middle Andaman,delta,vaccinated2,8
AN,North and Middle Andaman,delta7,vaccinated1,90
AN,North and Middle Andaman,delta7,vaccinated2,1839
AN,North and Middle Andaman,meta,population,105597
AN,North and Middle Andaman,total,vaccinated1,78945
AN,North and Middle Andaman,total,vaccinated2,59522
AN,South Andaman,delta,vaccinated1,3
AN,South Andaman,delta,vaccinated2,28
AN,South Andaman,delta7,vaccinated1,732
AN,South Andaman,delta7,vaccinated2,8012
AN,South Andaman,meta,population,238142
AN,South Andaman,total,vaccinated1,189662
AN,South Andaman,total,vaccinated2,120322
AN, State Total,delta21_14,confirmed,9
AN, State Total,delta7,confirmed,3
AN, State Total,delta7,recovered,5
AN, State Total,total,confirmed,7651
AN, State Total,total,deceased,129
AN, State Total,total,recovered,7518
AP,Anantapur,delta,confirmed,4
AP,Anantapur,delta,recovered,5
AP,Anantapur,delta,vaccinated1,4575
AP,Anantapur,delta,vaccinated2,5370
AP,Anantapur,delta21_14,confirmed,50
AP,Anantapur,delta7,confirmed,38
AP,Anantapur,delta7,recovered,58
AP,Anantapur,delta7,vaccinated1,92803
AP,Anantapur,delta7,vaccinated2,140903
AP,Anantapur,meta,population,4083315
AP,Anantapur,total,confirmed,157843
AP,Anantapur,total,deceased,1093
AP,Anantapur,total,recovered,156699
AP,Anantapur,total,tested,787085
AP,Anantapur,total,vaccinated1,2690082
AP,Anantapur,total,vaccinated2,1611476
AP,Chittoor,delta,confirmed,64
AP,Chittoor,delta,deceased,1
AP,Chittoor,delta,recovered,87
AP,Chittoor,delta,vaccinated1,878
AP,Chittoor,delta,vaccinated2,1306
AP,Chittoor,delta21_14,confirmed,631
AP,Chittoor,delta7,confirmed,516
AP,Chittoor,delta7,deceased,6
AP,Chittoor,delta7,recovered,629
AP,Chittoor,delta7,vaccinated1,63824
AP,Chittoor,delta7,vaccinated2,119541
AP,Chittoor,meta,population,4170468
AP,Chittoor,total,confirmed,246935
AP,Chittoor,total,deceased,1947
AP,Chittoor,total,recovered,244144
AP,Chittoor,total,tested,780322
AP,Chittoor,total,vaccinated1,2832987
AP,Chittoor,total,vaccinated2,1807873
AP,East Godavari,delta,confirmed,87
AP,East Godavari,delta,recovered,121
AP,East Godavari,delta,vaccinated1,41
AP,East Godavari,delta,vaccinated2,237
AP,East Godavari,delta21_14,confirmed,401
AP,East Godavari,delta7,confirmed,604
AP,East Godavari,delta7,recovered,520
AP,East Godavari,delta7,vaccinated1,36973
AP,East Godavari,delta7,vaccinated2,223236
AP,East Godavari,meta,population,5151549
AP,East Godavari,total,confirmed,293836
AP,East Godavari,total,deceased,1290
AP,East Godavari,total,recovered,291610
AP,East Godavari,total,tested,944746
AP,East Godavari,total,vaccinated1,3532220
AP,East Godavari,total,vaccinated2,1990578
AP,Foreign Evacuees,total,confirmed,434
AP,Foreign Evacuees,total,recovered,434
AP,Guntur,delta,confirmed,33
AP,Guntur,delta,recovered,198
AP,Guntur,delta,vaccinated1,1119
AP,Guntur,delta,vaccinated2,1248
AP,Guntur,delta21_14,confirmed,509
AP,Guntur,delta7,confirmed,272
AP,Guntur,delta7,deceased,4
AP,Guntur,delta7,recovered,619
AP,Guntur,delta7,vaccinated1,285377
AP,Guntur,delta7,vaccinated2,156818
AP,Guntur,meta,population,4889230
AP,Guntur,total,confirmed,178068
AP,Guntur,total,deceased,1237
AP,Guntur,total,recovered,176629
AP,Guntur,total,tested,833823
AP,Guntur,total,vaccinated1,3440118
AP,Guntur,total,vaccinated2,1891773
AP,Krishna,delta,confirmed,46
AP,Krishna,delta,deceased,1
AP,Krishna,delta,recovered,71
AP,Krishna,delta,vaccinated1,51
AP,Krishna,delta,vaccinated2,337
AP,Krishna,delta21_14,confirmed,405
AP,Krishna,delta7,confirmed,422
AP,Krishna,delta7,deceased,9
AP,Krishna,delta7,recovered,467
AP,Krishna,delta7,vaccinated1,75352
AP,Krishna,delta7,vaccinated2,230788
AP,Krishna,meta,population,4529009
AP,Krishna,total,confirmed,119348
AP,Krishna,total,deceased,1430
AP,Krishna,total,recovered,117130
AP,Krishna,total,tested,782232
AP,Krishna,total,vaccinated1,2971604
AP,Krishna,total,vaccinated2,1914927
AP,Kurnool,delta,confirmed,6
AP,Kurnool,delta,recovered,3
AP,Kurnool,delta,vaccinated1,4716
